No,Comb,DistanceNu,DistanceFu,tSNR,rSINRFu,rSINRNu,cGainFu,cGainNu,SumRate,OutageFu,OutageNu,BERFu,BerNu
1,b2a1,7.071,21.2132,-114,4.8794E-06,0.000398944,4.8888E-06,0.000403052,0.000286984,1,1,0.5019,0.4817
2,b2a2,7.071,15.811,-114,1.58834E-05,0.000395237,1.58107E-05,0.000403975,0.000297372,1,1,0.4934,0.4892
3,b2a3,7.071,15.811,-114,1.60727E-05,0.000399936,1.58743E-05,0.00039551,0.000298884,1,1,0.4992,0.4891
4,b2a4,7.071,21.2132,-114,4.9434E-06,0.000404748,4.9496E-06,0.000403517,0.000291671,1,1,0.4948,0.4832
5,b2b1,7.071,15.811,-114,0.000016196,0.000392905,1.59749E-05,0.000396647,0.000297638,1,1,0.4982,0.4966
6,b2b4,7.071,15.811,-114,1.61752E-05,0.000401759,1.59771E-05,0.000395508,0.00029936,1,1,0.4982,0.4889
7,b2c1,7.071,15.811,-114,1.57643E-05,0.000400093,1.60552E-05,0.0004059,0.000303825,1,1,0.5078,0.4888
8,b2c4,7.071,15.811,-114,1.59517E-05,0.000396738,1.60065E-05,0.000405204,0.000301641,1,1,0.4988,0.4854
9,b2d1,7.071,21.2132,-114,4.9193E-06,0.000404067,4.9691E-06,0.000396236,0.000295909,1,1,0.501,0.4791
10,b2d2,7.071,15.811,-114,1.62046E-05,0.000397568,0.000016043,0.000394561,0.000298053,1,1,0.5024,0.4983
11,b2d3,7.071,15.811,-114,1.60806E-05,0.000401946,1.60417E-05,0.00039778,0.000301418,1,1,0.4997,0.4922
12,b2d4,7.071,21.2132,-114,0.000004985,0.000395458,4.9124E-06,0.0004015,0.00029524,1,1,0.4961,0.4839
13,b3a1,7.071,21.2132,-114,4.8794E-06,0.000398944,4.8888E-06,0.000403052,0.000286984,1,1,0.5019,0.4817
14,b3a2,7.071,15.811,-114,1.58834E-05,0.000395237,1.58107E-05,0.000403975,0.000297372,1,1,0.4934,0.4892
15,b3a3,7.071,15.811,-114,1.60727E-05,0.000399936,1.58743E-05,0.00039551,0.000298884,1,1,0.4992,0.4891
16,b3a4,7.071,21.2132,-114,4.9434E-06,0.000404748,4.9496E-06,0.000403517,0.000291671,1,1,0.4948,0.4832
17,b3b1,7.071,15.811,-114,0.000016196,0.000392905,1.59749E-05,0.000396647,0.000297638,1,1,0.4982,0.4966
18,b3b4,7.071,15.811,-114,1.61752E-05,0.000401759,1.59771E-05,0.000395508,0.00029936,1,1,0.4982,0.4889
19,b3c1,7.071,15.811,-114,1.57643E-05,0.000400093,1.60552E-05,0.0004059,0.000303825,1,1,0.5078,0.4888
20,b3c4,7.071,15.811,-114,1.59517E-05,0.000396738,1.60065E-05,0.000405204,0.000301641,1,1,0.4988,0.4854
21,b3d1,7.071,21.2132,-114,4.9193E-06,0.000404067,4.9691E-06,0.000396236,0.000295909,1,1,0.501,0.4791
22,b3d2,7.071,15.811,-114,1.62046E-05,0.000397568,0.000016043,0.000394561,0.000298053,1,1,0.5024,0.4983
23,b3d3,7.071,15.811,-114,1.60806E-05,0.000401946,1.60417E-05,0.00039778,0.000301418,1,1,0.4997,0.4922
24,b3d4,7.071,21.2132,-114,0.000004985,0.000395458,4.9124E-06,0.0004015,0.00029524,1,1,0.4961,0.4839
25,c2a1,7.071,21.2132,-114,4.8794E-06,0.000398944,4.8888E-06,0.000403052,0.000286984,1,1,0.5019,0.4817
26,c2a2,7.071,15.811,-114,1.58834E-05,0.000395237,1.58107E-05,0.000403975,0.000297372,1,1,0.4934,0.4892
27,c2a3,7.071,15.811,-114,1.60727E-05,0.000399936,1.58743E-05,0.00039551,0.000298884,1,1,0.4992,0.4891
28,c2a4,7.071,21.2132,-114,4.9434E-06,0.000404748,4.9496E-06,0.000403517,0.000291671,1,1,0.4948,0.4832
29,c2b1,7.071,15.811,-114,0.000016196,0.000392905,1.59749E-05,0.000396647,0.000297638,1,1,0.4982,0.4966
30,c2b4,7.071,15.811,-114,1.61752E-05,0.000401759,1.59771E-05,0.000395508,0.00029936,1,1,0.4982,0.4889
31,c2c1,7.071,15.811,-114,1.57643E-05,0.000400093,1.60552E-05,0.0004059,0.000303825,1,1,0.5078,0.4888
