NearUserPos,FarUserPos,NearUserDist,FarUserDist,TransmitPower,SNR,SumRateFarUser,SumRateNearUser,BERFarUser,BERNearUser,OutageProbFarUser,OutageProbNearUser,OptimalMA,NormalizedCapacityNear,NormalizedCapacityFar,NormalizedBERNear,NormalizedBERFar,NormalizedOutageNear,NormalizedOutageFar,Score
c3,a1,21.21320344,49.49747468,-114,-30,3.66E-06,3.66E-06,0.5062,0.4993,1,1,OMA,2.56E-07,2.56E-07,0.967629386,0.969171917,1,1,0.003971676
c3,a1,21.21320344,49.49747468,-112,-28,5.84E-06,5.84E-06,0.5004,0.5039,1,1,OMA,5.77E-07,5.77E-07,0.976545842,0.956120612,1,1,0.00450317
c3,a1,21.21320344,49.49747468,-110,-26,9.19E-06,9.19E-06,0.4943,0.502,1,1,OMA,1.07E-06,1.07E-06,0.972862958,0.942394239,1,1,0.006740518
c3,a1,21.21320344,49.49747468,-108,-24,1.49E-05,1.49E-05,0.4943,0.4961,1,1,OMA,1.91E-06,1.91E-06,0.961426633,0.942394239,1,1,0.008210518
c3,a1,21.21320344,49.49747468,-106,-22,2.33E-05,2.33E-05,0.4983,0.5034,1,1,OMA,3.14E-06,3.14E-06,0.975576662,0.95139514,1,1,0.005236254
c3,a1,21.21320344,49.49747468,-104,-20,3.67E-05,3.67E-05,0.4989,0.4934,1,1,OMA,5.12E-06,5.12E-06,0.956193061,0.952745275,1,1,0.007554574
c3,a1,21.21320344,49.49747468,-102,-18,5.77E-05,5.77E-05,0.5052,0.4899,1,1,OMA,8.21E-06,8.21E-06,0.9494088,0.966921692,1,1,0.006606267
c3,a1,21.21320344,49.49747468,-100,-16,9.31E-05,9.31E-05,0.5014,0.4928,1,1,OMA,1.34E-05,1.34E-05,0.955030045,0.958370837,1,1,0.006985404
c3,a1,21.21320344,49.49747468,-98,-14,0.000146395,0.000146395,0.5022,0.4869,1,1,OMA,2.13E-05,2.13E-05,0.94359372,0.960171017,1,1,0.008227687
c3,a1,21.21320344,49.49747468,-96,-12,0.000232802,0.000232802,0.4961,0.4869,1,1,OMA,3.40E-05,3.40E-05,0.94359372,0.946444644,1,1,0.00999807
c3,a1,21.21320344,49.49747468,-94,-10,0.000366271,0.000366271,0.4941,0.4943,1,1,OMA,5.37E-05,5.37E-05,0.957937585,0.941944194,1,1,0.008743291
c3,a1,21.21320344,49.49747468,-92,-8,0.00057828,0.00057828,0.4941,0.4926,1,1,OMA,8.49E-05,8.49E-05,0.954642373,0.941944194,1,1,0.009182774
c3,a1,21.21320344,49.49747468,-90,-6,0.000918372,0.000918372,0.4966,0.4831,1,1,OMA,0.000134961,0.000134961,0.936227951,0.947569757,1,1,0.010851889
c3,a1,21.21320344,49.49747468,-88,-4,0.0014664,0.0014664,0.4927,0.4679,1,1,OMA,0.000215665,0.000215665,0.906764877,0.938793879,1,1,0.015807086
c3,a1,21.21320344,49.49747468,-86,-2,0.002301017,0.002301017,0.4979,0.4723,1,1,OMA,0.000338574,0.000338574,0.915293662,0.95049505,1,1,0.013270707
c3,a1,21.21320344,49.49747468,-84,0,0.003693722,0.003693722,0.4988,0.4713,1,1,OMA,0.000543669,0.000543669,0.913355301,0.952520252,1,1,0.013364967
c3,a1,21.21320344,49.49747468,-82,2,0.005842544,0.005842544,0.4969,0.4576,1,1,OMA,0.000860113,0.000860113,0.886799767,0.948244824,1,1,0.017489406
c3,a1,21.21320344,49.49747468,-80,4,0.009115156,0.009115156,0.4881,0.447,1,1,OMA,0.001342051,0.001342051,0.86625315,0.928442844,1,1,0.022921927
c3,a1,21.21320344,49.49747468,-78,6,0.01443502,0.01443502,0.4872,0.4362,1,1,OMA,0.002125475,0.002125475,0.84531886,0.926417642,1,1,0.026274908
c3,a1,21.21320344,49.49747468,-76,8,0.022215485,0.022215485,0.4909,0.422,1,1,OMA,0.003271256,0.003271256,0.817794146,0.934743474,1,1,0.029330902
c3,a1,21.21320344,49.49747468,-74,10,0.035434331,0.035434331,0.4806,0.3904,1,1,OMA,0.005217915,0.005217915,0.756541965,0.911566157,1,1,0.041180698
c3,a1,21.21320344,49.49747468,-72,12,0.054804146,0.054804146,0.4706,0.3686,1,1,OMA,0.008070389,0.008070389,0.714285714,0.889063906,1,1,0.050968356
c3,a1,21.21320344,49.49747468,-70,14,0.082979388,0.082979388,0.4625,0.3321,1,1,OMA,0.012219585,0.012219585,0.643535569,0.870837084,1,1,0.06453461
c3,a1,21.21320344,49.49747468,-68,16,0.126654698,0.126654698,0.4678,0.2915,1,1,OMA,0.018651381,0.018651381,0.564838147,0.882763276,1,1,0.076420679
c3,a1,21.21320344,49.49747468,-66,18,0.190274808,0.190274808,0.4534,0.2525,1,1,OMA,0.028020325,0.028020325,0.489242101,0.850360036,1,1,0.095114261
c3,a1,21.21320344,49.49747468,-64,20,0.270946397,0.270946397,0.4341,0.2183,1,1,OMA,0.039900337,0.039900337,0.422950184,0.806930693,1,1,0.115319808
c3,a1,21.21320344,49.49747468,-62,22,0.382221877,0.382221877,0.4171,0.1679,1,1,OMA,0.056287196,0.056287196,0.325256833,0.768676868,1,1,0.141211917
c3,a1,21.21320344,49.49747468,-60,24,0.524890265,0.524890265,0.399,0.1297,1,1,OMA,0.077297098,0.077297098,0.251211475,0.727947795,1,1,0.16675957
c3,a1,21.21320344,49.49747468,-58,26,0.706799873,0.706799873,0.3798,0.0917,1,0.9997,OMA,0.104085813,0.104085813,0.177553789,0.684743474,0.999692528,1,0.195585304
c3,a1,21.21320344,49.49747468,-56,28,0.923797065,0.923797065,0.3474,0.0616,1,0.9943,OMA,0.136041663,0.136041663,0.119209149,0.611836184,0.99415804,1,0.229587732
c3,a1,21.21320344,49.49747468,-54,30,1.180219211,1.180219211,0.3063,0.0429,1,0.9509,OMA,0.173803385,0.173803385,0.082961814,0.519351935,0.949677155,1,0.27125514
c3,a2,21.21320344,43.01162634,-114,-30,3.80E-06,3.80E-06,0.4979,0.4914,1,1,OMA,2.76E-07,2.76E-07,0.95231634,0.95049505,1,1,0.008339398
c3,a2,21.21320344,43.01162634,-112,-28,5.98E-06,5.98E-06,0.4951,0.5096,1,1,OMA,5.98E-07,5.98E-07,0.987594495,0.944194419,1,1,0.004615944
c3,a2,21.21320344,43.01162634,-110,-26,9.60E-06,9.60E-06,0.4956,0.4928,1,1,OMA,1.13E-06,1.13E-06,0.955030045,0.945319532,1,1,0.008656181
c3,a2,21.21320344,43.01162634,-108,-24,1.51E-05,1.51E-05,0.4846,0.4937,1,1,OMA,1.95E-06,1.95E-06,0.956774569,0.920567057,1,1,0.011613129
c3,a2,21.21320344,43.01162634,-106,-22,2.41E-05,2.41E-05,0.4954,0.492,1,1,OMA,3.27E-06,3.27E-06,0.953479356,0.944869487,1,1,0.008914373
c3,a2,21.21320344,43.01162634,-104,-20,3.80E-05,3.80E-05,0.499,0.4931,1,1,OMA,5.31E-06,5.31E-06,0.955611553,0.952970297,1,1,0.007600482
c3,a2,21.21320344,43.01162634,-102,-18,5.96E-05,5.96E-05,0.5062,0.4984,1,1,OMA,8.50E-06,8.50E-06,0.965884861,0.969171917,1,1,0.004200084
c3,a2,21.21320344,43.01162634,-100,-16,9.46E-05,9.46E-05,0.4978,0.4937,1,1,OMA,1.36E-05,1.36E-05,0.956774569,0.950270027,1,1,0.007802301
c3,a2,21.21320344,43.01162634,-98,-14,0.000148886,0.000148886,0.5006,0.4909,1,1,OMA,2.16E-05,2.16E-05,0.95134716,0.956570657,1,1,0.007694203
c3,a2,21.21320344,43.01162634,-96,-12,0.000237235,0.000237235,0.4984,0.4921,1,1,OMA,3.47E-05,3.47E-05,0.953673192,0.951620162,1,1,0.008038135
c3,a2,21.21320344,43.01162634,-94,-10,0.000378806,0.000378806,0.4966,0.4932,1,1,OMA,5.55E-05,5.55E-05,0.955805389,0.947569757,1,1,0.008295341
