NearUserPos,FarUserPos,FarUserDist,TransmitPower,SNR,SumRateFarUser,SumRateNearUser,BERFarUser,BERNearUser,OutageProbFarUser,OutageProbNearUser,MAScheme
b2,a1,21.2132,-114,-30,0.000290087097403703,0.000290087097403703,0.5054,0.4912,1,1,OMA
b2,a1,21.2132,-114,-30,0.000148694615213204,0.000148694615213204,0.5055,0.4983,1,1,NOMA
b2,a1,21.2132,-112,-28,0.000462658444411803,0.000462658444411803,0.499,0.4925,1,1,OMA
b2,a1,21.2132,-112,-28,0.000237231872055452,0.000237231872055452,0.499,0.4973,1,1,NOMA
b2,a1,21.2132,-110,-26,0.00072875251031928,0.00072875251031928,0.4929,0.487,1,1,OMA
b2,a1,21.2132,-110,-26,0.000373495038854622,0.000373495038854622,0.4931,0.4965,1,1,NOMA
b2,a1,21.2132,-108,-24,0.00117891901108438,0.00117891901108438,0.4925,0.4788,1,1,OMA
b2,a1,21.2132,-108,-24,0.000604205551932988,0.000604205551932988,0.4925,0.4893,1,1,NOMA
b2,a1,21.2132,-106,-22,0.00184166339900296,0.00184166339900296,0.4964,0.4815,1,1,OMA
b2,a1,21.2132,-106,-22,0.000945062674026473,0.000945062674026473,0.4963,0.4937,1,1,NOMA
b2,a1,21.2132,-104,-20,0.00289892274601156,0.00289892274601156,0.4954,0.4629,1,1,OMA
b2,a1,21.2132,-104,-20,0.00148952022771822,0.00148952022771822,0.4967,0.4801,1,1,NOMA
b2,a1,21.2132,-102,-18,0.00454423781885191,0.00454423781885191,0.5004,0.4536,1,1,OMA
b2,a1,21.2132,-102,-18,0.00233925244583149,0.00233925244583149,0.5023,0.476,1,1,NOMA
b2,a1,21.2132,-100,-16,0.00731180310947102,0.00731180310947102,0.4972,0.4479,1,1,OMA
b2,a1,21.2132,-100,-16,0.00377323688464733,0.00377323688464733,0.4978,0.4725,1,1,NOMA
b2,a1,21.2132,-98,-14,0.0114392937777401,0.0114392937777401,0.4954,0.4327,1,1,OMA
b2,a1,21.2132,-98,-14,0.00592645869114935,0.00592645869114935,0.497,0.4684,1,1,NOMA
b2,a1,21.2132,-96,-12,0.0180257160230276,0.0180257160230276,0.4883,0.4169,1,1,OMA
b2,a1,21.2132,-96,-12,0.00940451917895388,0.00940451917895388,0.4887,0.4564,1,1,NOMA
b2,a1,21.2132,-94,-10,0.028004664932523,0.028004664932523,0.4837,0.4046,1,1,OMA
b2,a1,21.2132,-94,-10,0.0147479744034554,0.0147479744034554,0.4859,0.461,1,1,NOMA
b2,a1,21.2132,-92,-8,0.0433400529026852,0.0433400529026852,0.4847,0.3829,1,1,OMA
b2,a1,21.2132,-92,-8,0.0231658796753724,0.0231658796753724,0.4854,0.4514,1,1,NOMA
b2,a1,21.2132,-90,-6,0.0668406243030821,0.0668406243030821,0.4828,0.3523,1,1,OMA
b2,a1,21.2132,-90,-6,0.0365052439120296,0.0365052439120296,0.4845,0.4442,1,1,NOMA
b2,a1,21.2132,-88,-4,0.102202063579913,0.102202063579913,0.4728,0.3102,1,1,OMA
b2,a1,21.2132,-88,-4,0.0575476783028912,0.0575476783028912,0.4764,0.4223,1,1,NOMA
b2,a1,21.2132,-86,-2,0.151523505757942,0.151523505757942,0.4733,0.273,1,1,OMA
b2,a1,21.2132,-86,-2,0.0887120364777782,0.0887120364777782,0.4801,0.416,1,1,NOMA
b2,a1,21.2132,-84,0,0.224021633606808,0.224021633606808,0.4699,0.2358,1,1,OMA
b2,a1,21.2132,-84,0,0.138441524657144,0.138441524657144,0.4751,0.4111,1,1,NOMA
b2,a1,21.2132,-82,2,0.319714065667218,0.319714065667218,0.4605,0.1834,1,1,OMA
b2,a1,21.2132,-82,2,0.210510986227986,0.210510986227986,0.4673,0.386,1,1,NOMA
b2,a1,21.2132,-80,4,0.439701839340333,0.439701839340333,0.4415,0.1503,1,1,OMA
b2,a1,21.2132,-80,4,0.31145923788144,0.31145923788144,0.4517,0.3656,1,1,NOMA
b2,a1,21.2132,-78,6,0.596589677456772,0.596589677456772,0.4302,0.1079,1,1,OMA
b2,a1,21.2132,-78,6,0.458597570810315,0.458597570810315,0.44,0.3212,1,0.9998,NOMA
b2,a1,21.2132,-76,8,0.776892819533129,0.776892819533129,0.4206,0.0808,1,0.9982,OMA
b2,a1,21.2132,-76,8,0.647204618070828,0.647204618070828,0.4338,0.2698,1,0.9923,NOMA
b2,a1,21.2132,-74,10,1.00601776452681,1.00601776452681,0.3967,0.0527,1,0.978,OMA
b2,a1,21.2132,-74,10,0.915996577127021,0.915996577127021,0.4086,0.2157,1,0.9507,NOMA
b2,a1,21.2132,-72,12,1.25637563295891,1.25637563295891,0.3663,0.0357,1,0.9038,OMA
